Unnamed: 0,id,key_skills,name,accept_temporary,specializations_count,specializations_id,specializations_name,specializations_profarea_id,specializations_profarea_name,experience_id,experience_name,schedule_id,schedule_name,employment_id,employment_name,area_id,area_name,working_days_count,working_days_id,working_days_name,working_time_intervals_count,working_time_intervals_id,working_time_intervals_name,working_time_modes_count,working_time_modes_id,working_time_modes_name,salary_from,salary_to,currency,gross
294,31094223,[],"Программист 1С на платформе 1С 8.3, конфигурация УТ 11.4",False,2,"[1221, 1536]","['Программирование, Разработка', 'CRM системы']",[1],"['Информационные технологии, интернет, телеком']",between3And6,От 3 до 6 лет,fullDay,Полный день,full,Полная занятость,112,Ярославль,0,[],[],0,[],[],0,[],[],80000.0,,RUR,True
29295,38441866,"[{'name': 'Node.js'}, {'name': 'MySQL'}, {'name': 'Redis'}, {'name': 'RabbitMQ'}, {'name': 'Docker'}, {'name': 'JavaScript'}, {'name': 'Git'}, {'name': 'Nginx'}, {'name': 'MS SQL'}, {'name': 'ООП'}, {'name': 'Python'}, {'name': 'Linux'}, {'name': 'Администрирование серверов Linux'}]",Разработчик серверной части на NodeJS,False,1,[1221],"['Программирование, Разработка']",[1],"['Информационные технологии, интернет, телеком']",between1And3,От 1 года до 3 лет,fullDay,Полный день,full,Полная занятость,1,Москва,0,[],[],0,[],[],0,[],[],80000.0,120000.0,RUR,False
3203,37223506,"[{'name': 'Nginx'}, {'name': 'MySQL'}, {'name': 'Redis'}, {'name': 'Memcached'}, {'name': 'Apache HTTP Server'}]",Senior System Administrator / SRE,False,6,"[1221, 1270, 1272, 1273, 182, 1211]","['Программирование, Разработка', 'Сетевые технологии', 'Системная интеграция', 'Системный администратор', 'Инженер', 'Поддержка, Helpdesk']",[1],"['Информационные технологии, интернет, телеком']",between3And6,От 3 до 6 лет,remote,Удаленная работа,full,Полная занятость,2,Санкт-Петербург,0,[],[],0,[],[],0,[],[],150000.0,250000.0,RUR,False
7686,39913895,"[{'name': 'Пользователь ПК'}, {'name': 'Высокая скорость печати'}, {'name': 'Работа в команде'}, {'name': 'Грамотность'}, {'name': 'Google Chrome'}, {'name': 'Самодисциплина'}, {'name': 'Усидчивость'}]",Оператор систем видеонаблюдения,False,6,"[1203, 1172, 1110, 1270, 1420, 8461]","['Передача данных и доступ в интернет', 'Начальный уровень, Мало опыта', 'Компьютерная безопасность', 'Сетевые технологии', 'Администратор баз данных', 'Системы видеонаблюдения']","[8, 1]","['Безопасность', 'Информационные технологии, интернет, телеком']",noExperience,Нет опыта,remote,Удаленная работа,full,Полная занятость,4,Новосибирск,0,[],[],0,[],[],0,[],[],15000.0,25000.0,RUR,False
17922,39737218,"[{'name': 'Git'}, {'name': 'JavaScript'}, {'name': 'MySQL'}, {'name': 'PHP5'}, {'name': 'HTML'}]",Back-end разработчик,False,6,"[1221, 1270, 1272, 19, 189, 110]","['Программирование, Разработка', 'Сетевые технологии', 'Системная интеграция', 'Web инженер', 'Интернет', 'Web мастер']",[1],"['Информационные технологии, интернет, телеком']",between1And3,От 1 года до 3 лет,remote,Удаленная работа,full,Полная занятость,54,Красноярск,0,[],[],0,[],[],0,[],[],40000.0,,RUR,False
4704,39364242,"[{'name': 'CRM'}, {'name': 'Zappier'}, {'name': 'Python'}, {'name': 'SQL'}]",Analyst CRM,False,2,"[5369, 1536]","['Отчетность', 'CRM системы']","[1, 5]","['Банки, инвестиции, лизинг', 'Информационные технологии, интернет, телеком']",between1And3,От 1 года до 3 лет,fullDay,Полный день,full,Полная занятость,68,Омск,0,[],[],0,[],[],0,[],[],80000.0,,RUR,False
5748,38613607,"[{'name': 'Ремонт ПК'}, {'name': 'Windows 7'}, {'name': 'Администрирование серверов Windows'}, {'name': 'Администрирование сетевого оборудования'}, {'name': 'Настройка ПК'}, {'name': 'Сборка ПК'}, {'name': 'Автоматизация производства'}, {'name': 'проектирование СКУД'}, {'name': 'Verilog HDL'}]",Инженер по автоматизации,False,6,"[1110, 1270, 1272, 150, 182, 1274]","['Компьютерная безопасность', 'Сетевые технологии', 'Системная интеграция', 'Системы управления предприятием (ERP)', 'Инженер', 'Системы автоматизированного проектирования']",[1],"['Информационные технологии, интернет, телеком']",between1And3,От 1 года до 3 лет,fullDay,Полный день,full,Полная занятость,76,Ростов-на-Дону,0,[],[],0,[],[],0,[],[],30000.0,36000.0,RUR,True
15216,39251981,[],"Специалист отдела гарантии (бытовая и компьютерная техника, ТЦ Созвездие)",False,5,"[1172, 25381, 25386, 17111, 17487]","['Начальный уровень, Мало опыта', 'Сервисный инженер', 'Инсталляция и настройка оборудования', 'Компьютерная техника', 'Бытовая техника']","[1, 25, 17]","['Инсталляция и сервис', 'Продажи', 'Информационные технологии, интернет, телеком']",between1And3,От 1 года до 3 лет,shift,Сменный график,full,Полная занятость,66,Нижний Новгород,0,[],[],0,[],[],0,[],[],25000.0,,RUR,False
8378,38737222,"[{'name': 'Python'}, {'name': 'MySQL'}, {'name': 'Ориентация на результат'}, {'name': 'Управление временем'}, {'name': 'Базы данных'}]",Senior/Teamlead Python developer,False,1,[1221],"['Программирование, Разработка']",[1],"['Информационные технологии, интернет, телеком']",between3And6,От 3 до 6 лет,fullDay,Полный день,full,Полная занятость,2,Санкт-Петербург,0,[],[],0,[],[],0,[],[],,300000.0,RUR,False
21734,38845813,"[{'name': 'Cisco'}, {'name': 'Wifi networks'}, {'name': 'Администрирование сетевого оборудования'}, {'name': 'Настройка сетевых подключений'}, {'name': 'TCP/IP'}]",Инженер по сетевым технологиям,False,1,[1270],['Сетевые технологии'],[1],"['Информационные технологии, интернет, телеком']",between3And6,От 3 до 6 лет,fullDay,Полный день,full,Полная занятость,95,Тюмень,0,[],[],0,[],[],0,[],[],75000.0,,RUR,False
